iter	Passed	Remaining
0	153	153500
1	159	79635
2	164	54830
3	170	42442
4	176	35026
5	181	30098
6	186	26478
7	191	23731
8	196	21631
9	201	19916
10	205	18475
11	210	17306
12	214	16300
13	218	15404
14	222	14621
15	226	13925
16	230	13321
17	234	12791
18	238	12318
19	242	11896
20	246	11502
21	251	11169
22	255	10859
23	259	10571
24	263	10292
25	268	10049
26	272	9831
27	277	9620
28	281	9438
29	286	9274
30	291	9125
31	296	8981
32	301	8825
33	305	8679
34	310	8551
35	314	8419
36	319	8307
37	323	8202
38	328	8096
39	332	7987
40	336	7882
41	341	7783
42	345	7689
43	350	7615
44	355	7536
45	359	7464
46	365	7402
47	369	7334
48	374	7258
49	378	7184
50	382	7111
51	386	7052
52	391	7001
53	396	6941
54	400	6884
55	405	6835
56	409	6778
57	413	6719
58	417	6659
59	421	6602
60	425	6547
61	429	6496
62	433	6445
63	437	6396
64	441	6347
65	445	6306
66	449	6262
67	453	6220
68	458	6180
69	462	6148
70	467	6117
71	472	6085
72	476	6053
73	481	6020
74	485	5986
75	489	5955
76	494	5923
77	498	5890
78	502	5859
79	506	5826
80	510	5796
81	514	5765
82	518	5732
83	523	5703
84	527	5677
85	531	5652
86	536	5625
87	540	5602
88	544	5578
89	549	5559
90	554	5537
91	558	5513
92	563	5493
93	568	5476
94	572	5456
95	577	5435
96	581	5413
97	585	5390
98	590	5371
99	594	5351
100	599	5331
101	603	5310
102	607	5291
103	611	5269
104	615	5249
105	620	5229
106	624	5214
107	629	5195
108	633	5176
109	637	5158
110	641	5137
111	645	5118
112	649	5097
113	653	5081
114	658	5064
115	662	5045
116	666	5028
117	670	5013
118	674	4996
119	679	4981
120	683	4964
121	688	4951
122	692	4935
123	696	4919
124	700	4906
125	705	4892
126	709	4876
127	713	4863
128	717	4847
129	722	4833
130	726	4818
131	730	4803
132	734	4790
133	738	4774
134	743	4761
135	747	4751
136	752	4737
137	756	4722
138	760	4709
139	764	4694
140	768	4683
141	773	4670
142	777	4657
143	781	4643
144	785	4629
145	789	4615
146	793	4603
147	797	4590
148	801	4576
149	805	4564
150	809	4553
151	814	4542
152	818	4530
153	822	4518
154	826	4506
155	830	4495
156	835	4483
157	839	4471
158	843	4458
159	846	4446
160	851	4435
161	855	4426
162	859	4415
163	863	4404
164	868	4394
165	872	4383
166	876	4372
167	880	4361
168	884	4351
169	888	4340
170	893	4329
171	897	4320
172	901	4310
173	905	4299
174	909	4289
175	914	4280
176	918	4270
177	922	4259
178	926	4249
179	930	4240
180	934	4229
181	938	4219
182	942	4208
183	946	4199
184	950	4188
185	954	4178
186	959	4173
187	963	4163
188	968	4156
189	972	4147
190	976	4137
191	981	4128
192	985	4120
193	991	4117
194	996	4113
195	1001	4109
196	1007	4107
197	1012	4102
198	1017	4096
199	1023	4092
200	1028	4086
201	1032	4078
202	1036	4068
203	1040	4058
204	1044	4048
205	1048	4040
206	1053	4034
207	1057	4027
208	1062	4020
209	1066	4012
210	1070	4004
211	1075	3997
212	1079	3990
213	1084	3982
214	1088	3976
215	1093	3968
216	1097	3961
217	1102	3955
218	1106	3947
219	1110	3938
220	1115	3931
221	1119	3922
222	1123	3914
223	1127	3906
224	1132	3899
225	1136	3891
226	1140	3882
227	1144	3874
228	1148	3865
229	1152	3856
230	1156	3848
231	1160	3840
232	1164	3832
233	1168	3823
234	1172	3815
235	1176	3807
236	1180	3799
237	1184	3792
238	1188	3785
239	1193	3778
240	1197	3770
241	1201	3762
242	1205	3755
243	1209	3747
244	1213	3740
245	1218	3734
246	1222	3727
247	1226	3720
248	1230	3712
249	1235	3705
250	1239	3698
251	1243	3691
252	1247	3684
253	1252	3679
254	1256	3671
255	1261	3665
256	1265	3658
257	1269	3651
258	1273	3644
259	1278	3638
260	1282	3632
261	1287	3627
262	1292	3620
263	1296	3614
264	1301	3608
265	1305	3601
266	1309	3595
267	1314	3589
268	1318	3582
269	1322	3575
270	1326	3568
271	1330	3562
272	1335	3555
273	1339	3548
274	1343	3542
275	1347	3535
276	1352	3529
277	1356	3523
278	1361	3517
279	1365	3511
280	1369	3505
281	1374	3499
282	1378	3493
283	1383	3487
284	1387	3480
285	1391	3474
286	1395	3468
287	1400	3461
288	1404	3455
289	1408	3448
290	1412	3441
291	1417	3435
292	1421	3429
293	1425	3423
294	1429	3415
295	1433	3408
296	1437	3402
297	1441	3395
298	1445	3389
299	1449	3382
300	1454	3376
301	1458	3370
302	1462	3364
303	1466	3357
304	1470	3350
305	1474	3344
306	1478	3338
307	1482	3331
308	1487	3325
309	1491	3319
310	1495	3313
311	1499	3307
312	1503	3300
313	1508	3294
314	1512	3288
315	1516	3282
316	1520	3275
317	1524	3269
318	1528	3263
319	1532	3255
320	1536	3249
321	1540	3243
322	1544	3238
323	1549	3232
324	1553	3226
325	1557	3220
326	1561	3214
327	1565	3208
328	1569	3202
329	1574	3196
330	1578	3189
331	1582	3183
332	1586	3177
333	1590	3171
334	1594	3165
335	1598	3159
336	1602	3153
337	1606	3147
338	1610	3141
339	1615	3135
340	1619	3129
341	1623	3123
342	1627	3116
343	1631	3110
344	1635	3105
345	1639	3099
346	1643	3093
347	1647	3087
348	1651	3081
349	1655	3074
350	1659	3068
351	1663	3062
352	1667	3057
353	1672	3051
354	1676	3045
355	1680	3040
356	1684	3034
357	1688	3028
358	1692	3022
359	1697	3016
360	1701	3011
361	1705	3006
362	1710	3000
363	1714	2995
364	1718	2989
365	1722	2983
366	1727	2979
367	1731	2973
368	1735	2967
369	1739	2962
370	1743	2956
371	1747	2950
372	1752	2945
373	1756	2940
374	1761	2935
375	1765	2930
376	1769	2924
377	1774	2919
378	1778	2914
379	1782	2908
380	1787	2903
381	1791	2898
382	1796	2893
383	1800	2888
384	1804	2882
385	1808	2877
386	1813	2872
387	1817	2867
388	1822	2862
389	1827	2857
390	1831	2852
391	1835	2846
392	1839	2841
393	1844	2836
394	1848	2830
395	1852	2825
396	1857	2820
397	1861	2815
398	1866	2810
399	1870	2805
400	1874	2799
401	1878	2794
402	1882	2789
403	1887	2783
404	1891	2778
405	1896	2774
406	1900	2768
407	1904	2763
408	1908	2757
409	1929	2775
410	1932	2770
411	1936	2764
412	1940	2758
413	1944	2752
414	1948	2747
415	1952	2741
416	1956	2735
417	1960	2729
418	1964	2723
419	1968	2717
420	1972	2712
421	1975	2706
